timestamp,elapsed_sec,latency_ms,type
1767953687.9867563,44.60,0.05,send_ack_simulated
1767953687.9872885,44.60,0.03,send_ack_simulated
1767953687.9878247,44.60,0.18,send_ack_simulated
1767953687.9880624,44.60,0.03,send_ack_simulated
1767953687.988249,44.60,0.01,send_ack_simulated
1767953687.9883122,44.60,0.49,send_ack_simulated
1767953687.9884055,44.60,0.08,send_ack_simulated
1767953687.9885151,44.60,0.22,send_ack_simulated
1767953687.9885807,44.60,0.12,send_ack_simulated
1767953687.9886675,44.60,0.20,send_ack_simulated
1767953716.0000489,72.61,0.02,send_ack_simulated
1767953716.0006826,72.61,0.01,send_ack_simulated
1767953716.0010157,72.61,0.27,send_ack_simulated
1767953716.0012882,72.61,0.01,send_ack_simulated
1767953716.0014508,72.61,0.12,send_ack_simulated
1767953716.0015938,72.61,0.01,send_ack_simulated
1767953716.0016787,72.61,0.02,send_ack_simulated
1767953716.001778,72.61,0.02,send_ack_simulated
1767953716.0018802,72.61,0.01,send_ack_simulated
1767953716.0019479,72.61,0.02,send_ack_simulated
1767953716.0020952,72.61,0.13,send_ack_simulated
1767953744.0120318,100.62,0.04,send_ack_simulated
1767953744.014752,100.62,0.96,send_ack_simulated
1767953744.016068,100.62,1.23,send_ack_simulated
1767953744.0167603,100.63,0.03,send_ack_simulated
1767953744.0175214,100.63,0.78,send_ack_simulated
1767953744.0179026,100.63,0.41,send_ack_simulated
1767953744.0182354,100.63,0.02,send_ack_simulated
1767953744.018652,100.63,1.05,send_ack_simulated
1767953744.018911,100.63,0.94,send_ack_simulated
1767953744.019154,100.63,0.11,send_ack_simulated
1767953772.0228648,128.63,0.18,send_ack_simulated
1767953772.0240371,128.63,0.02,send_ack_simulated
1767953772.0245655,128.63,0.49,send_ack_simulated
1767953772.0249362,128.63,0.01,send_ack_simulated
1767953772.0250814,128.63,0.16,send_ack_simulated
1767953772.0252295,128.63,0.19,send_ack_simulated
1767953772.025403,128.63,0.24,send_ack_simulated
1767953772.0257144,128.63,0.02,send_ack_simulated
1767953772.0259004,128.63,0.37,send_ack_simulated
1767953772.0260587,128.63,0.01,send_ack_simulated
1767953772.0262437,128.63,0.17,send_ack_simulated
1767953800.034191,156.64,0.40,send_ack_simulated
1767953800.0371938,156.65,0.04,send_ack_simulated
1767953800.0378788,156.65,0.27,send_ack_simulated
1767953800.0384789,156.65,0.32,send_ack_simulated
1767953800.0390337,156.65,0.12,send_ack_simulated
1767953800.0393193,156.65,0.13,send_ack_simulated
1767953828.0464244,184.65,0.06,send_ack_simulated
1767953828.0473168,184.66,0.12,send_ack_simulated
1767953828.049273,184.66,0.02,send_ack_simulated
1767953828.0495808,184.66,0.29,send_ack_simulated
1767953828.0499842,184.66,0.57,send_ack_simulated
1767953828.0504217,184.66,0.02,send_ack_simulated
1767953828.050654,184.66,1.15,send_ack_simulated
1767953828.0509799,184.66,1.09,send_ack_simulated
1767953828.0512807,184.66,0.24,send_ack_simulated
1767953828.0514345,184.66,0.71,send_ack_simulated
1767953828.0517046,184.66,0.19,send_ack_simulated
1767953828.052008,184.66,0.21,send_ack_simulated
1767953828.0522964,184.66,0.14,send_ack_simulated
1767953828.0525482,184.66,0.03,send_ack_simulated
1767953828.052854,184.66,0.06,send_ack_simulated
1767953828.0531085,184.66,0.18,send_ack_simulated
1767953856.0600338,212.67,0.28,send_ack_simulated
1767953856.0633283,212.67,0.04,send_ack_simulated
1767953856.064091,212.67,0.50,send_ack_simulated
1767953856.0650392,212.67,0.20,send_ack_simulated
1767953856.0664055,212.67,0.09,send_ack_simulated
1767953856.067047,212.68,3.01,send_ack_simulated
1767953856.0674345,212.68,0.35,send_ack_simulated
1767953856.0676656,212.68,0.02,send_ack_simulated
1767953856.0679276,212.68,0.04,send_ack_simulated
1767953856.0682516,212.68,0.12,send_ack_simulated
1767953884.0757208,240.68,0.89,send_ack_simulated
1767953884.0772724,240.69,0.09,send_ack_simulated
1767953884.0788763,240.69,0.65,send_ack_simulated
1767953884.079535,240.69,0.59,send_ack_simulated
1767953884.0803192,240.69,0.09,send_ack_simulated
1767953884.0805333,240.69,0.03,send_ack_simulated
1767953884.0808082,240.69,0.16,send_ack_simulated
