timestamp,elapsed_sec,vip_sent_rate,normal_sent_rate,total_sent_rate,errors_rate
1767948434.3045447,35.22,0,0,0,150
1767948435.3051436,36.22,0,0,0,100
1767948436.3057215,37.23,0,0,0,100
1767948437.306328,38.23,0,0,0,100
1767948438.3068898,39.23,0,0,0,110
1767948439.307941,40.23,0,0,0,240
1767948440.3085601,41.23,4000,0,4000,102
1767948441.308997,42.23,0,0,0,102
1767948442.309434,43.23,0,0,0,100
1767948443.3098798,44.23,0,0,0,100
1767948444.310379,45.23,0,0,0,100
1767948445.3108585,46.23,0,0,0,248
1767948446.311306,47.23,8000,0,8000,107
1767948447.311749,48.23,0,0,0,100
1767948448.312196,49.23,0,0,0,100
1767948449.3126736,50.23,0,0,0,100
1767948450.3131835,51.23,0,0,0,100
1767948451.313546,52.23,0,0,0,243
1767948452.3140507,53.23,8000,0,8000,107
1767948453.3145518,54.23,0,0,0,100
1767948454.314991,55.23,0,0,0,100
1767948455.3154488,56.23,0,0,0,100
1767948456.3159695,57.24,0,0,0,100
1767948457.316636,58.24,0,0,0,243
1767948458.317185,59.24,30000,0,30000,200
1767948459.3177817,60.24,0,0,0,200
1767948460.3179626,61.24,0,0,0,200
1767948461.3182273,62.24,0,0,0,200
1767948462.3185697,63.24,0,0,0,200
1767948463.3189526,64.24,0,0,0,250
1767948464.3192463,65.24,0,0,0,200
1767948465.3203092,66.24,0,0,0,200
1767948466.3204834,67.24,0,0,0,200
1767948467.3209455,68.24,0,0,0,200
1767948468.3215046,69.24,0,0,0,200
1767948469.3217454,70.24,0,0,0,250
1767948470.3222253,71.24,0,0,0,200
1767948471.3227575,72.24,0,0,0,200
1767948472.3229945,73.24,0,0,0,200
1767948473.323337,74.24,0,0,0,200
1767948474.3238163,75.24,0,0,0,200
1767948475.3240638,76.24,0,0,0,250
1767948476.3244913,77.24,0,0,0,200
1767948477.324945,78.24,0,0,0,200
1767948478.325442,79.24,0,0,0,200
1767948479.3263798,80.25,0,0,0,200
1767948480.3265662,81.25,0,0,0,200
1767948481.3271239,82.25,0,0,0,250
1767948482.32775,83.25,0,0,0,200
1767948483.327972,84.25,0,0,0,200
1767948484.3287752,85.25,0,0,0,200
1767948485.3293054,86.25,0,0,0,200
1767948486.3300903,87.25,0,0,0,200
1767948487.3305254,88.25,0,0,0,250
1767948488.3309507,89.25,0,0,0,200
1767948489.3327775,90.25,0,0,0,180
1767948490.3348324,91.25,0,0,0,201
1767948491.3354406,92.25,0,0,0,200
1767948492.3359382,93.26,0,0,0,200
1767948493.3363266,94.26,0,0,0,217
1767948494.3368082,95.26,0,0,0,0
1767948495.33725,96.26,0,0,0,0
1767948496.337721,97.26,0,0,0,0
1767948497.3384476,98.26,0,0,0,0
1767948498.3386693,99.26,0,0,0,0
1767948499.3388996,100.26,0,0,0,0
1768135322.6999223,24.77,240000,0,240000,41
1768135325.2259307,27.29,496000,0,496000,65
1768135326.3066678,28.37,730000,0,730000,116
1768135327.8550034,29.92,428000,0,428000,135
1768135330.0660937,32.13,516000,0,516000,72
1768135331.8271027,33.89,630000,0,630000,81
1768135332.8783572,34.95,466000,0,466000,64
1768135334.0329177,36.10,366000,0,366000,95
1768135335.4097602,37.48,280000,0,280000,71
1768135336.4100652,38.48,414000,0,414000,72
1768135339.4441743,41.51,398000,0,398000,63
1768135341.762861,43.83,888000,0,888000,161
1768135342.9805014,45.05,534000,0,534000,125
1768135344.4555779,46.52,408000,0,408000,63
1768135345.9278572,48.00,498000,0,498000,51
1768135347.503462,49.57,312000,0,312000,38
1768135349.8375664,51.90,460000,0,460000,136
1768135351.2617145,53.33,460000,0,460000,200
1768135352.4633813,54.53,412000,0,412000,165
1768135353.5848014,55.65,314000,0,314000,120
1768135354.6118743,56.68,274000,0,274000,109
1768135380.3078752,82.38,232000,0,232000,125
1768135381.3273897,83.39,420000,0,420000,291
1768135382.327538,84.39,38000,0,38000,120
1768135383.3277452,85.40,0,0,0,0
1768135384.3279276,86.40,0,0,0,0
1768135385.3281338,87.40,0,0,0,0
1768135386.3282995,88.40,0,0,0,0
1768135387.3284962,89.40,0,0,0,0
1768135388.3286943,90.40,0,0,0,0
1768135389.42046,91.49,0,0,0,0
1768135390.6092136,92.68,0,0,0,0
1768135391.7156107,93.78,0,0,0,0
1768135393.1688166,95.24,0,0,0,0
1768135394.285983,96.35,0,0,0,0
1768135395.4583883,97.53,0,0,0,0
1768135396.5754893,98.64,0,0,0,0
1768135397.6778953,99.75,0,0,0,0
1768135398.706277,100.77,0,0,0,0
1768135399.7314503,101.80,0,0,0,0
1768135400.7651885,102.83,0,0,0,0
1768135401.7942286,103.86,0,0,0,0
1768135402.8175302,104.88,0,0,0,0
1768135403.843028,105.91,0,0,0,0
1768135404.8649652,106.93,0,0,0,0
1768135405.894671,107.96,0,0,0,0
1768135406.9141016,108.98,0,0,0,0
1768135407.9451456,110.01,0,0,0,0
1768135408.9847813,111.05,0,0,0,0
1768135410.017567,112.08,0,0,0,0
1768135411.0487661,113.12,0,0,0,0
1768135412.0823565,114.15,0,0,0,0
1768135413.1088972,115.18,0,0,0,0
1768135414.1491978,116.22,0,0,0,0
1768135415.1749017,117.24,0,0,0,0
1768135416.20295,118.27,0,0,0,0
1768135417.229566,119.30,0,0,0,0
1768135418.2737222,120.34,0,0,0,0
1768135419.317581,121.38,0,0,0,0
1768135420.351355,122.42,0,0,0,0
1768135421.378436,123.45,0,0,0,0
1768135422.4228542,124.49,0,0,0,0
1768135423.4741848,125.54,0,0,0,0
1768135424.5058904,126.57,0,0,0,0
1768135425.542208,127.61,0,0,0,0
1768135426.5826619,128.65,0,0,0,0
